wilaya_name,commune_name
Béjaïa;Dra El Caid
Béjaïa;Kherrata
Béjaïa;Bejaia
Béjaïa;Oued Ghir
Béjaïa;Benimaouche
Béjaïa;Beni Djellil
Béjaïa;Feraoun
Béjaïa;Smaoun
Béjaïa;Timezrit
Béjaïa;Melbou
Béjaïa;Souk El Tenine
Béjaïa;Tamridjet
Béjaïa;Boukhelifa
Béjaïa;Tala Hamza
Béjaïa;Tichy
Béjaïa;Ait R'zine
Béjaïa;Ighil-Ali
Béjaïa;Ait-Smail
Béjaïa;Darguina
Béjaïa;Taskriout
Béjaïa;Aokas
Béjaïa;Tizi-N'berber
Béjaïa;Adekar
Béjaïa;Beni K'sila
Béjaïa;Taourit Ighil
Béjaïa;Akbou
Béjaïa;Chellata
Béjaïa;Ighram
Béjaïa;Tamokra
Béjaïa;Amalou
Béjaïa;Bouhamza
Béjaïa;M'cisna
Béjaïa;Seddouk
Béjaïa;Beni-Mallikeche
Béjaïa;Boudjellil
Béjaïa;Tazmalt
Béjaïa;Akfadou
Béjaïa;Chemini
Béjaïa;Souk Oufella
Béjaïa;Tibane
Béjaïa;Ouzellaguen
Béjaïa;Amizour
Biskra;El Feidh
Biskra;Lichana
Biskra;Bouchakroun
Biskra;Mekhadma
Biskra;Djemorah
Biskra;Branis
Biskra;El Outaya
Biskra;El Kantara
Biskra;Khenguet Sidi Nadji
Biskra;Ain Zaatout
Biskra;Zeribet El Oued
Biskra;Meziraa
Biskra;Biskra
Biskra;El Hadjab
Biskra;M'lili
Biskra;Foughala
Biskra;El Ghrous
Biskra;Bordj Ben Azzouz
Biskra;Ourlal
Biskra;Oumache
Biskra;Ain Naga
Biskra;Chetma
Biskra;El Haouch
Biskra;Sidi Okba
Biskra;M'chouneche
Biskra;Lioua
Biskra;Tolga
Béchar;Bechar
Béchar;Boukais
Béchar;Lahmar
Béchar;Mogheul
Béchar;Meridja
Béchar;Taghit
Béchar;Abadla
Béchar;Erg-Ferradj
Béchar;Machraa-Houari-Boumediene
Béchar;Beni-Ounif
Béchar;Tabelbala
Béchar;Kenadsa
Blida;Beni Mered
Blida;Ouled Slama
Blida;Mouzaia
Blida;Hammam Elouane
Blida;Bougara
Blida;Souhane
Blida;Larbaa
Blida;Soumaa
Blida;Guerrouaou
Blida;Boufarik
Blida;Meftah
Blida;Chiffa
Blida;Ain Romana
Blida;Oued  Djer
Blida;El-Affroun
Blida;Ouled Yaich
Blida;Chrea
Blida;Djebabra
Blida;Oued El Alleug
Blida;Benkhelil
Blida;Beni-Tamou
Blida;Chebli
Blida;Bouinan
Blida;Bouarfa
Blida;Blida
Bouira;Ain Laloui
Bouira;Hadjera Zerga
Bouira;Mezdour
Bouira;Taguedite
Bouira;Ridane
Bouira;Maamora
Bouira;El-Hakimia
Bouira;Ahl El Ksar
Bouira;Dirah
Bouira;Dechmia
Bouira;Bechloul
Bouira;Ath Mansour
Bouira;Saharidj
Bouira;El Adjiba
Bouira;El Asnam
Bouira;M Chedallah
Bouira;Bordj Okhriss
Bouira;Sour El Ghozlane
Bouira;Hanif
Bouira;Chorfa
Bouira;Ouled Rached
Bouira;Ain El Hadjar
Bouira;Aghbalou
Bouira;Raouraoua
Bouira;El Khabouzia
Bouira;Bir Ghbalou
Bouira;Bouira
Bouira;Ain Turk
Bouira;Ait Laaziz
Bouira;Ain-Bessem
Bouira;El-Mokrani
Bouira;Souk El Khemis
Bouira;Aomar
Bouira;Djebahia
Bouira;El Hachimia
Bouira;Haizer
Bouira;Taghzout
Bouira;Bouderbala
Bouira;Boukram
Bouira;Guerrouma
Bouira;Lakhdaria
Bouira;Maala
Bouira;Kadiria
Bouira;Z'barbar (El Isseri )
Bouira;Oued El Berdi
Tamanrasset;Tazrouk
Tamanrasset;Abelsa
Tamanrasset;Tamanrasset
Tamanrasset;Ain Amguel
Tamanrasset;Idles
Tébessa;El-Houidjbet
Tébessa;El-Aouinet
Tébessa;Ferkane
Tébessa;Negrine
Tébessa;Bir Mokkadem
Tébessa;Bir Dheheb
Tébessa;Saf Saf El Ouesra
Tébessa;Guorriguer
Tébessa;Bekkaria
Tébessa;Boulhaf Dyr
Tébessa;Oum Ali
Tébessa;Boukhadra
Tébessa;El Malabiod
Tébessa;Ouenza
Tébessa;El Meridj
Tébessa;Ain Zerga
Tébessa;Stah Guentis
Tébessa;El Ogla
Tébessa;El Mezeraa
Tébessa;Bedjene
Tébessa;Morsott
Tébessa;Telidjen
Tébessa;Cheria
Tébessa;El Ogla El Malha
Tébessa;Bir-El-Ater
Tébessa;Tebessa
Tébessa;Hammamet
Tébessa;El Kouif
Tlemcen;Bab El Assa
Tlemcen;Terny Beni Hediel
Tlemcen;Mansourah
Tlemcen;Beni Mester
Tlemcen;Ain Ghoraba
Tlemcen;Chetouane
Tlemcen;Amieur
Tlemcen;Ain Fezza
Tlemcen;Honnaine
Tlemcen;Beni Khellad
Tlemcen;Sidi Djillali
Tlemcen;Bouihi
Tlemcen;Nedroma
Tlemcen;M'sirda Fouaga
Tlemcen;Marsa Ben M'hidi
Tlemcen;Sidi Medjahed
Tlemcen;Beni Boussaid
Tlemcen;Sebdou
Tlemcen;El Gor
Tlemcen;El Aricha
Tlemcen;Bouhlou
Tlemcen;Maghnia
Tlemcen;Hammam Boughrara
Tlemcen;Zenata
Tlemcen;Ouled Riyah
Tlemcen;Hennaya
Tlemcen;Sidi Abdelli
Tlemcen;Souk Tleta
Tlemcen;Bensekrane
Tlemcen;Fellaoucene
Tlemcen;Ain Kebira
Tlemcen;Ain Fetah
Tlemcen;Tlemcen
Tlemcen;Ain Nehala
Tlemcen;Ain Tellout
Tlemcen;Ain Youcef
Tlemcen;Beni Ouarsous
Tlemcen;El Fehoul
Tlemcen;Remchi
Tlemcen;Sebbaa Chioukh
Tlemcen;Souani
Tlemcen;Sabra
Tlemcen;Dar Yaghmoracen
Tlemcen;Ghazaouet
Tlemcen;Souahlia
Tlemcen;Tianet
Tlemcen;Beni Smiel
Tlemcen;Oued Lakhdar
Tlemcen;Ouled Mimoun
Tlemcen;Beni Bahdel
Tlemcen;Beni Snous
Tlemcen;Azail
Tlemcen;Djebala
Tiaret;Mahdia
Tiaret;Ain Dzarit
Tiaret;Sebaine
Tiaret;Faidja
Tiaret;Si Abdelghani
Tiaret;Sougueur
Tiaret;Tousnina
Tiaret;Meghila
Tiaret;Sebt
Tiaret;Sidi Hosni
Tiaret;Ain El Hadid
Tiaret;Frenda
Tiaret;Takhemaret
Tiaret;Ain Kermes
Tiaret;Djebilet Rosfa
Tiaret;Madna
Tiaret;Medrissa
Tiaret;Sidi Abderrahmane
Tiaret;Ksar Chellala
Tiaret;Guertoufa
Tiaret;Serghine
Tiaret;Zmalet El Emir Abdelkade
Tiaret;Oued Lilli
Tiaret;Sidi Ali Mellal
Tiaret;Djillali Ben Amar
Tiaret;Mechraa Safa
Tiaret;Tagdempt
Tiaret;Bougara
Tiaret;Hamadia
Tiaret;Rechaiga
Tiaret;Tidda
Tiaret;Nadorah
Tiaret;Tiaret
Tiaret;Medroussa
Tiaret;Mellakou
Tiaret;Sidi Bakhti
Tiaret;Ain Deheb
Tiaret;Chehaima
Tiaret;Naima
Tiaret;Ain Bouchekif
Tiaret;Dahmouni
Tiaret;Rahouia
Tizi Ouzou;Mizrana
Tizi Ouzou;Idjeur
Tizi Ouzou;Beni-Douala
Tizi Ouzou;Beni-Zikki
Tizi Ouzou;Illoula Oumalou
Tizi Ouzou;Agouni-Gueghrane
Tizi Ouzou;Ait Bouaddou
Tizi Ouzou;Ouadhias
Tizi Ouzou;Tizi N'tleta
Tizi Ouzou;Aghribs
Tizi Ouzou;Ait-Chafaa
Tizi Ouzou;Akerrou
Tizi Ouzou;Azeffoun
Tizi Ouzou;Iflissen
Tizi Ouzou;Tigzirt
Tizi Ouzou;Assi-Youcef
Tizi Ouzou;Boghni
Tizi Ouzou;Bounouh
Tizi Ouzou;Mechtras
Tizi Ouzou;Draa-Ben-Khedda
Tizi Ouzou;Sidi Namane
Tizi Ouzou;Tadmait
Tizi Ouzou;Tirmitine
Tizi Ouzou;Ait Boumahdi
Tizi Ouzou;Ait-Toudert
Tizi Ouzou;Beni-Aissi
Tizi Ouzou;Ouacif
Tizi Ouzou;Ait Khellili
Tizi Ouzou;Mekla
Tizi Ouzou;Souama
Tizi Ouzou;Beni-Yenni
Tizi Ouzou;Iboudrarene
Tizi Ouzou;Tizi-Ouzou
Tizi Ouzou;Abi-Youcef
Tizi Ouzou;Ain-El-Hammam
Tizi Ouzou;Ait-Yahia
Tizi Ouzou;Akbil
Tizi Ouzou;Boudjima
Tizi Ouzou;Makouda
Tizi Ouzou;Ain-Zaouia
Tizi Ouzou;Ait Yahia Moussa
Tizi Ouzou;Draa-El-Mizan
Tizi Ouzou;Frikat
Tizi Ouzou;M'kira
Tizi Ouzou;Tizi-Gheniff
Tizi Ouzou;Yatafene
Tizi Ouzou;Illilten
Tizi Ouzou;Imsouhal
Tizi Ouzou;Azazga
Tizi Ouzou;Freha
Tizi Ouzou;Ifigha
Tizi Ouzou;Yakourene
Tizi Ouzou;Zekri
Tizi Ouzou;Ait Aggouacha
Tizi Ouzou;Irdjen
Tizi Ouzou;Larbaa Nath Irathen
Tizi Ouzou;Ait-Oumalou
Tizi Ouzou;Tizi-Rached
Tizi Ouzou;Ait-Aissa-Mimoun
Tizi Ouzou;Ouaguenoun
Tizi Ouzou;Timizart
Tizi Ouzou;Maatkas
Tizi Ouzou;Souk-El-Tenine
Tizi Ouzou;Ait-Mahmoud
Tizi Ouzou;Beni Zmenzer
Tizi Ouzou;Iferhounene
Tizi Ouzou;Bouzeguene
Alger;Hussein Dey
Alger;Les Eucalyptus
Alger;Sidi Moussa
Alger;Kouba
Alger;Mohamed Belouzdad
Alger;Ain Taya
Alger;Bab Ezzouar
Alger;Bordj El Kiffan
Alger;Dar El Beida
Alger;El Marsa
Alger;Mohammadia
Alger;Bir Touta
Alger;Ouled Chebel
Alger;Tessala El Merdja
Alger;Herraoua
Alger;Reghaia
Alger;Rouiba
Alger;Maalma
Alger;Rahmania
Alger;Souidania
Alger;Staoueli
Alger;Zeralda
Alger;Baba Hassen
Alger;Douira
Alger;Draria
Alger;El Achour
Alger;Khraissia
Alger;Ain Benian
Alger;Cheraga
Alger;Dely Ibrahim
Alger;Hammamet
Alger;Ouled Fayet
Alger;Alger Centre
Alger;El Madania
Alger;El Mouradia
Alger;Sidi M'hamed
Alger;Sehaoula
Alger;Bologhine Ibnou Ziri
Alger;Casbah
Alger;Oued Koriche
Alger;Rais Hamidou
Alger;Bir Mourad Rais
Alger;Birkhadem
Alger;Djasr Kasentina
Alger;Hydra
Alger;El Magharia
Alger;Ben Aknoun
Alger;Beni Messous
Alger;Bouzareah
Alger;El Biar
Alger;Bachedjerah
Alger;Bourouba
Alger;El Harrach
Alger;Oued Smar
Alger;Baraki
Alger;Bordj El Bahri
Alger;Bab El Oued
Djelfa;Hassi El Euch
Djelfa;Ain El Ibel
Djelfa;El Guedid
Djelfa;Charef
Djelfa;Benyagoub
Djelfa;Sidi Baizid
Djelfa;M'liliha
Djelfa;Dar Chioukh
Djelfa;Taadmit
Djelfa;Had Sahary
Djelfa;Bouira Lahdab
Djelfa;Ain Fekka
Djelfa;Sidi Laadjel
Djelfa;Hassi Fedoul
Djelfa;El Khemis
Djelfa;Selmana
Djelfa;Sed Rahal
Djelfa;Messaad
Djelfa;Guettara
Djelfa;Deldoul
Djelfa;Zaccar
Djelfa;Douis
Djelfa;El Idrissia
Djelfa;Ain Chouhada
Djelfa;Djelfa
Djelfa;Birine
Djelfa;Oum Laadham
Djelfa;Faidh El Botma
Djelfa;Amourah
Djelfa;Zaafrane
Djelfa;Guernini
Djelfa;Ain Oussera
Djelfa;Benhar
Djelfa;Ain Maabed
Djelfa;Hassi Bahbah
Djelfa;Moudjebara
Jijel;Jijel
Jijel;El Aouana
Jijel;Selma Benziada
Jijel;Erraguene Souissi
Jijel;Boussif Ouled Askeur
Jijel;Ziama Mansouriah
Jijel;Chahna
Jijel;Emir Abdelkader
Jijel;Oudjana
Jijel;Taher
Jijel;Chekfa
Jijel;El Kennar Nouchfi
Jijel;Sidi Abdelaziz
Jijel;El Milia
Jijel;Ouled Yahia Khadrouch
Jijel;Ouled Rabah
Jijel;Sidi Marouf
Jijel;Ghebala
Jijel;Settara
Jijel;Bouraoui Belhadef
Jijel;El Ancer
Jijel;Khiri Oued Adjoul
Jijel;Djimla
Jijel;Kaous
Jijel;Texenna
Jijel;Bordj T'har
Jijel;Boudria Beniyadjis
Jijel;Djemaa Beni Habibi
Sétif;Rosfa
Sétif;Oued El Bared
Sétif;Tizi N'bechar
Sétif;Mezloug
Sétif;Guellal
Sétif;Kasr El Abtal
Sétif;Ouled Si Ahmed
Sétif;Ait Naoual Mezada
Sétif;Ait-Tizi
Sétif;Bouandas
Sétif;Bousselam
Sétif;Hamam Soukhna
Sétif;Taya
Sétif;Tella
Sétif;Ain Oulmene
Sétif;Boutaleb
Sétif;Hamma
Sétif;Ouled Tebben
Sétif;Amoucha
Sétif;Salah Bey
Sétif;Ain Azel
Sétif;Ain Lahdjar
Sétif;Beidha Bordj
Sétif;Bir Haddada
Sétif;Guenzet
Sétif;Harbil
Sétif;Ain-Roua
Sétif;Beni Oussine
Sétif;El Ouricia
Sétif;Bougaa
Sétif;Draa-Kebila
Sétif;Hammam Guergour
Sétif;Setif
Sétif;Ain El Kebira
Sétif;Dehamcha
Sétif;Ouled Addouane
Sétif;Ain-Sebt
Sétif;Beni-Aziz
Sétif;Maaouia
Sétif;Bellaa
Sétif;Bir-El-Arch
Sétif;El-Ouldja
Sétif;Tachouda
Sétif;Tala-Ifacene
Sétif;Serdj-El-Ghoul
Sétif;Guidjel
Sétif;Ouled Sabor
Sétif;Bazer-Sakra
Sétif;El Eulma
Sétif;Guelta Zerka
Sétif;Beni Fouda
Sétif;Djemila
Sétif;Ain-Legradj
Sétif;Beni Chebana
Sétif;Beni Ourtilane
Sétif;Beni-Mouhli
Sétif;Ain Abessa
Sétif;Ain Arnat
Sétif;Babor
Sétif;Maouaklane
Saïda;Saida
Saïda;Tircine
Saïda;Ouled Brahim
Saïda;Ain Soltane
Saïda;Maamora
Saïda;El Hassasna
Saïda;Ain Sekhouna
Saïda;Sidi Boubekeur
Saïda;Ouled Khaled
Saïda;Hounet
Saïda;Youb
Saïda;Doui Thabet
Saïda;Sidi Ahmed
Saïda;Moulay Larbi
Saïda;Ain El Hadjar
Saïda;Sidi Amar
Skikda;Ain Bouziane
Skikda;Salah Bouchaour
Skikda;El Hadaiek
Skikda;Zerdezas
Skikda;Ouled Habbaba
Skikda;Beni Oulbane
Skikda;Sidi Mezghiche
Skikda;Beni Bechir
Skikda;Ramdane Djamel
Skikda;Bin El Ouiden
Skikda;Emjez Edchich
Skikda;Tamalous
Skikda;Ain Kechra
Skikda;Ouldja Boulbalout
Skikda;Oum Toub
Skikda;El Ghedir
Skikda;Kerkara
Skikda;El Arrouch
Skikda;Zitouna
Skikda;Ouled Attia
Skikda;Oued Zhour
Skikda;Collo
Skikda;Cheraia
Skikda;Beni Zid
Skikda;Khenag Maoune
Skikda;El Marsa
Skikda;Ben Azzouz
Skikda;Bekkouche Lakhdar
Skikda;Es Sebt
Skikda;Ain Charchar
Skikda;Azzaba
Skikda;Bouchetata
Skikda;Filfila
Skikda;Hammadi Krouma
Skikda;Skikda
Skikda;Ain Zouit
Skikda;Djendel Saadi Mohamed
Skikda;Kanoua
Sidi Bel Abbès;Sidi Ali Benyoub
Sidi Bel Abbès;Moulay Slissen
Sidi Bel Abbès;El Hacaiba
Sidi Bel Abbès;Ain Tindamine
Sidi Bel Abbès;Tenira
Sidi Bel Abbès;Oued Sefioun
Sidi Bel Abbès;Hassi Dahou
Sidi Bel Abbès;Oued Taourira
Sidi Bel Abbès;Benachiba Chelia
Sidi Bel Abbès;Sidi Yacoub
Sidi Bel Abbès;Sidi Lahcene
Sidi Bel Abbès;Sidi Khaled
Sidi Bel Abbès;Tabia
Sidi Bel Abbès;Sidi Brahim
Sidi Bel Abbès;Amarnas
Sidi Bel Abbès;Boukhanefis
Sidi Bel Abbès;Hassi Zahana
Sidi Bel Abbès;Chetouane Belaila
Sidi Bel Abbès;Ben Badis
Sidi Bel Abbès;Bedrabine El Mokrani
Sidi Bel Abbès;Sfisef
Sidi Bel Abbès;M'cid
Sidi Bel Abbès;Boudjebaa El Bordj
Sidi Bel Abbès;Ain- Adden
Sidi Bel Abbès;Sidi Hamadouche
Sidi Bel Abbès;Sidi Chaib
Sidi Bel Abbès;Makedra
Sidi Bel Abbès;Ain El Berd
Sidi Bel Abbès;Redjem Demouche
Sidi Bel Abbès;Ras El Ma
Sidi Bel Abbès;Oued Sebaa
Sidi Bel Abbès;Marhoum
Sidi Bel Abbès;Sidi Bel-Abbes
Sidi Bel Abbès;Ain Thrid
Sidi Bel Abbès;Sehala Thaoura
Sidi Bel Abbès;Tessala
Sidi Bel Abbès;Belarbi
Sidi Bel Abbès;Mostefa  Ben Brahim
Sidi Bel Abbès;Tilmouni
Sidi Bel Abbès;Zerouala
Sidi Bel Abbès;Dhaya
Sidi Bel Abbès;Mezaourou
Sidi Bel Abbès;Teghalimet
Sidi Bel Abbès;Telagh
Sidi Bel Abbès;Ain Kada
Sidi Bel Abbès;Lamtar
Sidi Bel Abbès;Sidi Ali Boussidi
Sidi Bel Abbès;Sidi Dahou Zairs
Sidi Bel Abbès;Bir El Hammam
Sidi Bel Abbès;Merine
Sidi Bel Abbès;Tefessour
Sidi Bel Abbès;Taoudmout
Annaba;Annaba
Annaba;Seraidi
Annaba;Berrahal
Annaba;Oued El Aneb
Annaba;El Hadjar
Annaba;Sidi Amar
Annaba;El Bouni
Annaba;Ain El Berda
Annaba;Cheurfa
Annaba;El Eulma
Annaba;Treat
Annaba;Chetaibi
Guelma;Nechmaya
Guelma;Bou Hamdane
Guelma;Hammam Debagh
Guelma;Roknia
Guelma;Dahouara
Guelma;Hammam N'bail
Guelma;Guelma
Guelma;Boumahra Ahmed
Guelma;Ain Ben Beida
Guelma;Bouchegouf
Guelma;Medjez Sfa
Guelma;Oued Ferragha
Guelma;Bouati Mahmoud
Guelma;El Fedjoudj
Guelma;Heliopolis
Guelma;Medjez Amar
Guelma;Houari Boumedienne
Guelma;Ras El Agba
Guelma;Sellaoua Announa
Guelma;Djeballah Khemissi
Guelma;Bordj Sabath
Guelma;Oued Zenati
Guelma;Ain Regada
Guelma;Ain Larbi
Guelma;Ain Makhlouf
Guelma;Tamlouka
Guelma;Ain Sandel
Guelma;Bou Hachana
Guelma;Khezaras
Guelma;Belkheir
Guelma;Beni Mezline
Guelma;Guelaat Bou Sbaa
Guelma;Oued Cheham
Guelma;Bendjarah
Constantine;Didouche Mourad
Constantine;Hamma Bouziane
Constantine;Beni Hamidane
Constantine;Zighoud Youcef
Constantine;Ain Smara
Constantine;El Khroub
Constantine;Ouled Rahmoun
Constantine;Ain Abid
Constantine;Ben Badis
Constantine;Ibn Ziad
Constantine;Messaoud Boudjeriou
Constantine;Constantine
Médéa;Ouled Hellal
Médéa;Souagui
Médéa;Ksar El Boukhari
Médéa;M'fatha
Médéa;Saneg
Médéa;El Azizia
Médéa;Maghraoua
Médéa;Mihoub
Médéa;Bouaiche
Médéa;Boughzoul
Médéa;Chabounia
Médéa;Hannacha
Médéa;Ouamri
Médéa;Oued Harbil
Médéa;Beni Slimane
Médéa;Bouaichoune
Médéa;Ouled Bouachra
Médéa;Si Mahdjoub
Médéa;Bouskene
Médéa;Sidi Rabie
Médéa;Berrouaghia
Médéa;Ouled Deid
Médéa;Rebaia
Médéa;Medjebar
Médéa;Tletat Ed Douair
Médéa;Zoubiria
Médéa;Aissaouia
Médéa;El Haoudane
Médéa;Mezerana
Médéa;Tablat
Médéa;Boghar
Médéa;Seghouane
Médéa;Draa Esmar
Médéa;Medea
Médéa;Tamesguida
Médéa;Ben Chicao
Médéa;El Hamdania
Médéa;Ouzera
Médéa;Tizi Mahdi
Médéa;Ain Boucif
Médéa;El Ouinet
Médéa;Kef Lakhdar
Médéa;Ouled Emaaraf
Médéa;Sidi Demed
Médéa;Baata
Médéa;El Omaria
Médéa;Ouled Brahim
Médéa;Bir Ben Laabed
Médéa;El Guelbelkebir
Médéa;Sedraya
Médéa;Ain Ouksir
Médéa;Chelalet El Adhaoura
Médéa;Cheniguel
Médéa;Tafraout
Médéa;Bouchrahil
Médéa;Khams Djouamaa
Médéa;Sidi Naamane
Médéa;Aziz
Médéa;Derrag
Médéa;Oum El Djellil
Médéa;Djouab
Médéa;Sidi Zahar
Médéa;Sidi Ziane
Médéa;Ouled Antar
Mostaganem;Fornaka
Mostaganem;Oued El Kheir
Mostaganem;Hassiane
Mostaganem;Hassi Mameche
Mostaganem;Mazagran
Mostaganem;Stidia
Mostaganem;Ain-Tedles
Mostaganem;Sidi Belaattar
Mostaganem;Sour
Mostaganem;Ain-Boudinar
Mostaganem;Kheir-Eddine
Mostaganem;Sayada
Mostaganem;Sidi Ali
Mostaganem;Tazgait
Mostaganem;Benabdelmalek Ramdane
Mostaganem;Mostaganem
Mostaganem;Hadjadj
Mostaganem;Sidi-Lakhdar
Mostaganem;Achaacha
Mostaganem;Khadra
Mostaganem;Nekmaria
Mostaganem;Ouled Boughalem
Mostaganem;Bouguirat
Mostaganem;Safsaf
Mostaganem;Sirat
Mostaganem;Souaflia
Mostaganem;Ain-Sidi Cherif
Mostaganem;Mansourah
Mostaganem;Mesra
Mostaganem;Touahria
Mostaganem;Ain-Nouissy
Mostaganem;Ouled-Maalah
M'Sila;Chellal
M'Sila;Ouled Madhi
M'Sila;Khettouti Sed-El-Jir
M'Sila;Belaiba
M'Sila;Berhoum
M'Sila;Dehahna
M'Sila;Magra
M'Sila;Beni Ilmane
M'Sila;Bouti Sayeh
M'Sila;Sidi Aissa
M'Sila;Ain El Hadjel
M'Sila;Sidi Hadjeres
M'Sila;Bou Saada
M'Sila;El Hamel
M'Sila;Oulteme
M'Sila;Benzouh
M'Sila;Ouled Sidi Brahim
M'Sila;Sidi Ameur
M'Sila;Tamsa
M'Sila;Ben Srour
M'Sila;Mohamed Boudiaf
M'Sila;Ouled Slimane
M'Sila;Zarzour
M'Sila;Ain El Melh
M'Sila;Ain Fares
M'Sila;Ain Rich
M'Sila;Bir Foda
M'Sila;Sidi M'hamed
M'Sila;Medjedel
M'Sila;Menaa
M'Sila;Djebel Messaad
M'Sila;Slim
M'Sila;M'sila
M'Sila;Hammam Dalaa
M'Sila;Ouanougha
M'Sila;Ouled Mansour
M'Sila;Tarmount
M'Sila;Maadid
M'Sila;M'tarfa
M'Sila;Maarif
M'Sila;Ouled Derradj
M'Sila;Souamaa
M'Sila;El Houamed
M'Sila;Khoubana
M'Sila;M'cif
M'Sila;Ain Khadra
M'Sila;Ouled Addi Guebala
Mascara;Oued El Abtal
Mascara;Sidi Abdelmoumene
Mascara;Sedjerara
Mascara;Mohammadia
Mascara;Tighennif
Mascara;Mocta-Douz
Mascara;Ferraguig
Mascara;El Ghomri
Mascara;Zahana
Mascara;El Gaada
Mascara;Ras El Ain Amirouche
Mascara;Oggaz
Mascara;Alaimia
